,text,label
2449,cultivation of and possession with intent to distribute marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2450,cultivation of control substance on lands managed by the bureau of land managemen,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2451,current month and year tabs required on rear license plate comm vehicle front plate,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2452,current registration card required,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2453,current tab improperly attached,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2454,current tab on lic plate req,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2455,custodial possession of weapon,weapon crime
2456,custodian etc assault child result great bodily inj death,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
2457,custodn etc assault child resl great bodily inj dth,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
2458,customs laws except controlled substance liquor,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2459,customs laws except controlled substance liquor conspiracy,criminal mischief; criminal conspiracy
2460,damage destroy any wireless communication device,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2461,damage telephone power line,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2462,damage to government property as assimilated by,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2463,damage use etc power line,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2464,damage wireless device to prevent usage for assistance or to notify law enforcement,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2465,damaging prison or jail,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2466,damaging property by fire or explosive,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2467,dangerous drugs,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
2468,daylight loitering,loiter and prowl
2469,daytime loitering,loiter and prowl
2470,daytime loitering by minors,loiter and prowl
2471,daytime loitering on school day,loiter and prowl
2472,daytime loitering or truancy,loiter and prowl
2473,dead vegetation etc,loiter and prowl
2474,deal in counterfeit currency of the united states with intent to defraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2475,deal in counterfeit currency of the united states with the intent to defraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2476,dealing and transporting firearms in interstate commerce without license,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2477,dealing firarms without license,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2478,dealing firearms without license,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2479,dealing firearms without license aiding and abetting,possession of firearm
2480,dealing firearms without license criminal forfeiture,possession of firearm
2481,dealing in counterfeit currency of the united states with intent to defraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2482,dealing in counterfeit obligations,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2483,dealing in counterfiet currency of the united states with intent to defraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2484,dealing in firearms without license,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2485,deface with graffiti,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2486,defecation and urination in public,indecent exposure
2487,defective brakes,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2488,defective exhaust,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2489,defective windsheld rear wind,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2490,defective windshield and rear window,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2491,defective windshield etc,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2492,defective windshield rear window,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2493,defective windshield rear window glass,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2494,defective windshield rear window impairing view correct hours,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2495,defective wiper blades,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2496,defendants in of,assault and/or battery
2497,defendants in of and,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2498,defraud an innkeepr,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2499,defraud by passing check,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2500,defraud innkeeper,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2501,defraud phone company charge calls to another,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2502,defraud property of another,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2503,defraud property of another felony amended to defraud property of another misdemeanor,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2504,defrauding an innkeeper or less,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2505,defrauding an innkeeper over,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2506,defrauding hud,"give false information (court, law officer)"
2507,defrauding innkeepers etc,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2508,defrauding voter registration card,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2509,delay of mail by postal service employee without lawful authority,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2510,delay or destruction of mail,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2511,delay or destruction of mail class misdemeanor,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2512,delay or destruction of mail misdemeanor,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2513,delay or destruction of mail or newspapers,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2514,delay or destruction of mails,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2515,deliver etc drug paraphernalia,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2516,deliver furnish or transfer drug paraphernalia,possession of drug paraphernalia
2517,delivering firearm to common carrier without written notice,"give false information (court, law officer)"
2518,depredation of government property aiding and abetting,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2519,depredation of government property and aiding and abetting,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2520,depredation of government property misdemeanor,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2521,depredation of public lands and resources and aiding and abetting,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2522,deprivation of honest services wire fraud aiding and abetting and causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2523,desertion of mails,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2524,despensing controlled substances by practitioner,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2525,destroy conceal documentary evidence,obstruct and hinder court proceedings
2526,destroy conceal evidence,obstruct and hinder court proceedings
2527,destroy erase conceal evidence,obstruct and hinder court proceedings
2528,destroy injure deface or damage property or real property,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2529,destroying concealing evidence,obstruct and hinder court proceedings
2530,destroying evidence,obstruct and hinder court proceedings
2531,destroying federal property,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2532,destruction alternation falsification rcds fed investigation,obstruct and hinder court proceedings
2533,destruction of government property,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2534,destruction of government property misdemeanor,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2535,destruction of letter box,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2536,destruction of property,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2537,destruction of property to prevent seizure,destruction of property; malicious destruction of property; criminal destruction of property; criminal damage to property; damage to property
2538,destruction of wireless emergency communication device,obstruct and hinder court proceedings
2539,dft ana maria martinez in of,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2540,dft charged of bribery of public official,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
2541,dft jose carrillo and luis rivera in of,receive stolen property; possession of stolen property; theft by receiving
2542,did knowingly and intentionally conspire to distribute methamphetamine and controlled substance did knowingly and intentionally possess with the intent to dist see docket,criminal mischief; criminal conspiracy
2543,did knowingly possess with intent to distribute and distribute oxycodone did knowingly conspire to possess with intent to distribute oxycodone,criminal mischief; criminal conspiracy
2544,did willfully and unlawfully take flight from the state of ca to avoid prosecution for of section child stealing this charge was filed see docket,flee/elude the police
2545,discharge firearm,possession of firearm
2546,discharge firearm at vehicle,possession of firearm
2547,discharge firearm from vehicle at person,possession of firearm
2548,discharge firearm gross negligence,possession of firearm
2549,discharge firearm with gross negligence,possession of firearm
2550,discharged firearm,possession of firearm
2551,discharging firearm,possession of firearm
2552,disclosure of confidential information,receive stolen property; possession of stolen property; theft by receiving
2553,disobery traffic control device,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2554,disobey court order,contempt of court; fail to obey a court order
2555,disobey traffic control device,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2556,disobey traffic lane sign,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2557,disobey traffic signs,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2558,disobey traffic signs infraction amended to fail to obey sign signal dev infraction,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2559,disobeying court order,contempt of court; fail to obey a court order
2560,disobeying domestic relations court order,contempt of court; fail to obey a court order
2561,disorderly conduct,disorderly conduct
2562,disorderly conduct begging,disorderly conduct
2563,disorderly conduct drugs alcohol,disorderly conduct
2564,disorderly conduct drunk,disorderly conduct
2565,disorderly conduct intoxicated in public place,disorderly conduct
2566,disorderly conduct lodging,disorderly conduct
2567,disorderly conduct loiter in or about toilet,disorderly conduct
2568,disorderly conduct loiter prowl wander no lawful purpose,disorderly conduct
2569,disorderly conduct loiter refu,disorderly conduct
2570,disorderly conduct loiter refuse to identify self,disorderly conduct
2571,disorderly conduct loitering on private property was,disorderly conduct
2572,disorderly conduct peeking while loiter prowl wander,disorderly conduct
2573,disorderly conduct prostitute,disorderly conduct
2574,disorderly conduct prostitution,disorderly conduct
2575,displ id plates,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2576,display an expired license driving on suspended license while on gvt reservation,driving while drivers license is suspended; driving while drivers license is revoked
2577,display evidence of financial responsibility upon request in an accident,no registration; expired registration; no tags; expired tags/plates
2578,display invalid registration,no registration; expired registration; no tags; expired tags/plates
2579,display of alcohol,open container
2580,display of badge which resembles that of peace officer with intent to impersonate peace officer,"give false information (court, law officer)"
2581,display on vehicle present to officer unlawful registrati,no registration; expired registration; no tags; expired tags/plates
2582,display on vehicle present to officer unlawful registration,no registration; expired registration; no tags; expired tags/plates
2583,display or possess cancelled altered fictitious or fraudulently obtained id card,no registration; expired registration; no tags; expired tags/plates
2584,display placard that has been canceled or revoked,no registration; expired registration; no tags; expired tags/plates
2585,display possess unlawful lic,no registration; expired registration; no tags; expired tags/plates
2586,display proof of financial responsibility when requested by peace officer when involved in an accident,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2587,display unauthorized disabled person placard,no insurance; no proof of insurance; expired insurance
2588,display unauthorized disabled placard,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2589,display vehicle front and rear license plates,failure to obey traffic laws; weaving; lane changing; jump ride; fail to stop at stop sign; follow too closely; right of center; no lights; wrong side; pass school bus; drive on sidewalk
2590,disply fals proof of reg,no registration; expired registration; no tags; expired tags/plates
2591,disrd conduct drug alcohol,disorderly conduct
2592,disruptive on city property,disturb the peace; fighting in public; loud noise; breach of peace
2593,dissuading witness,obstruct and hinder court proceedings
2594,dissuading witness from reporting crime,obstruct and hinder court proceedings
2595,dissuading witness from testifying,obstruct and hinder court proceedings
2596,distribtion of heroin,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2597,distribute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2598,distribute of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2599,distribute pornography to minor,sex offense with a child
2600,distributing listed chemical,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2601,distributing oxycodone outside the scope of professional practice,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2602,distributing pornography to minor,sex offense with a child
2603,distributing tramadol outside the scope of professional practice,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2604,distribution and aiding and abetting the distribution of controll substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2605,distribution and aiding and abetting the distribution of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2606,distribution and dispensing of controlled substance to persons under twenty one years of age,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2607,distribution and possession of methamphetamine with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2608,distribution and possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2609,distribution and possession with intent to distribute controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2610,distribution and possession with intent to distribute controlled substance base,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2611,distribution and possession with intent to distribute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2612,distribution and possession with intent to distribute methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2613,distribution conspiracy to distribute lsd,criminal mischief; criminal conspiracy
2614,distribution of an possession with intent to distribute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2615,distribution of and possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2616,distribution of and possession with intent to distribute controlled substance and controlled substance base crack,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2617,distribution of and possession with intent to distribute controlled substance and controlled substance base crack aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2618,distribution of and possession with intent to distribute controlled substance base in the form or crack controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2619,distribution of and possession with intent to distribute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2620,distribution of and possession with intent to distribute methamphetamine and controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2621,distribution of and possession with intent to distribute methamphetamine and controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2622,distribution of and possession with intent to distribute methamphetamine and distribute controlled substance near school or college,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2623,distribution of and possession with intent to distribute methamphetamine marijuana heroin and controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2624,distribution of and possession with intent to distribute methamphetamine marijuana heroin and controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2625,distribution of and possession with intent to distrivute controlled substance and controlled substance base crack,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2626,distribution of at least grams of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2627,distribution of at least grams of mixture and substance containing methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2628,distribution of carfentanil resulting in death criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2629,distribution of carfentanil resulting in serious bodily injury criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2630,distribution of chemicals knowing and having reasonable cause to believe that the chemicals would be used to nanufacture controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2631,distribution of child pornography,sex offense with a child
2632,distribution of controlled substance,criminal mischief; criminal conspiracy
2633,distribution of controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2634,distribution of controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2635,distribution of controlled substance and methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2636,distribution of controlled substance and possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2637,distribution of controlled substance ase in the form of crack controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2638,distribution of controlled substance base,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2639,distribution of controlled substance base aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2640,distribution of controlled substance base crack,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2641,distribution of controlled substance base crack possession with intent to distribute controlled substance base crack possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2642,distribution of controlled substance base in the form of crack controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2643,distribution of controlled substance base in the form of crack controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2644,distribution of controlled substance base int he form of crack controlled substance aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2645,distribution of controlled substance base within feet of school,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2646,distribution of controlled substance crack,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2647,distribution of controlled substance criminal forfeiture allegations,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2648,distribution of controlled substance fentanyl,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2649,distribution of controlled substance methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2650,distribution of controlled substance near school,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2651,distribution of controlled substance possession with intent to distibute methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2652,distribution of controlled substances,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2653,distribution of ecstasy aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2654,distribution of fentanyl,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2655,distribution of grams and more of mixture containing methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2656,distribution of grams controlled substance base,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2657,distribution of grams of controlled substance base,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2658,distribution of grams or more controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2659,distribution of grams or more of mixture or substance containing controlled substance base,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2660,distribution of grams or more of mixture or substance containing detectable amount of heroin,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2661,distribution of grams or more of mixture or substance containing detectable amount of heroin schedule controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2662,distribution of grams or more of mixture or substance containing detectable amount of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2663,distribution of herion possession of heroin with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2664,distribution of heroin,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2665,distribution of heroin aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2666,distribution of heroin aiding and abetting criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2667,distribution of heroin and possession with intent to distribute heroin,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2668,distribution of heroin at least grams,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2669,distribution of heroin criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2670,distribution of heroin possession with the intent to distribute heroin,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2671,distribution of images of minors engaged in sexually explicit conduct,sex offense with a child
2672,distribution of listed precursor chemical,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2673,distribution of marihuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
2674,distribution of marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
